,1/4/20,3/4/20,population
Adana,197,241,2237940
Adıyaman,26,32,626465
Afyonkarahisar,11,18,729483
Aksaray,4,5,416367
Amasya,24,38,337800
Ankara,712,860,5639076
Antalya,95,102,2511700
Ardahan,5,5,97319
Artvin,15,20,170875
Aydın,12,20,1110972
Ağrı,29,31,536199
Balıkesir,87,106,1228620
Bartın,8,9,198249
Batman,7,9,608659
Bayburt,18,23,84843
Bilecik,5,16,219427
Bingöl,8,10,279812
Bitlis,22,22,348115
Bolu,6,19,316126
Burdur,2,3,270796
Bursa,135,259,3056120
Denizli,81,86,1037208
Diyarbakır,26,46,1756353
Düzce,21,32,392166
Edirne,89,91,413903
Elazığ,9,12,591098
Erzincan,17,15,234747
Erzurum,86,79,762062
Eskişehir,83,118,887475
Gaziantep,37,49,2069364
Giresun,61,73,448400
Gümüşhane,12,12,164521
Hakkari,2,2,280991
Hatay,22,32,1628894
Isparta,268,289,444914
Iğdır,25,26,199442
Kahramanmaraş,15,28,1154102
Karabük,10,20,248458
Karaman,12,14,253279
Kars,25,18,285410
Kastamonu,13,26,379405
Kayseri,109,130,1407409
Kilis,16,17,142490
Kocaeli,410,500,1953035
Konya,584,601,2232374
Kütahya,5,5,579257
Kırklareli,35,49,361836
Kırıkkale,22,23,283017
Kırşehir,4,7,242938
Malatya,49,66,800165
Manisa,65,100,1440611
Mardin,34,51,838778
Mersin,9,17,1840425
Muğla,43,46,983142
Muş,11,14,408809
Nevşehir,18,27,303010
Niğde,3,12,362861
Ordu,73,88,754198
Osmaniye,31,47,538759
Rize,88,101,343212
Sakarya,207,337,1029650
Samsun,112,167,1348542
Siirt,32,44,330280
Sinop,31,35,218243
Sivas,67,80,638956
Tekirdağ,101,121,1055412
Tokat,80,90,612747
Trabzon,74,87,808974
Tunceli,6,6,84660
Uşak,38,40,370509
Van,26,24,1136757
Yalova,46,64,270976
Yozgat,13,15,421200
Zonguldak,112,197,596053
Çanakkale,24,30,542157
Çankırı,13,25,195789
Çorum,29,35,530864
İstanbul,8852,12231,15519267
İzmir,853,1105,4367251
Şanlıurfa,11,18,2073614
Şırnak,3,9,529615
